Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Executable,UsedShortPassage,Length,RememberedCells
A* baseline,0,1,1,"(5, 8)","(44, 8)",15,False,True,39.828,0
A* baseline,0,1,2,"(5, 8)","(44, 8)",15,False,True,39.828,0
A* baseline,0,2,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,0,2,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,0,3,1,"(5, 8)","(44, 7)",16,False,True,39.414,0
A* baseline,0,3,2,"(5, 8)","(44, 7)",16,False,True,39.414,0
A* baseline,0,4,1,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,0,4,2,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,0,5,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,0,5,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,1,1,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,1,1,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,1,2,1,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,1,2,2,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,1,3,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,1,3,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,1,4,1,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,1,4,2,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,1,5,1,"(5, 7)","(44, 8)",17,False,True,39.414,0
A* baseline,1,5,2,"(5, 7)","(44, 8)",17,False,True,39.414,0
A* baseline,2,1,1,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,2,1,2,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,2,2,1,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,2,2,2,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,2,3,1,"(5, 6)","(44, 9)",16,False,True,40.243,0
A* baseline,2,3,2,"(5, 6)","(44, 9)",16,False,True,40.243,0
A* baseline,2,4,1,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,2,4,2,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,2,5,1,"(5, 5)","(44, 9)",15,False,True,40.657,0
A* baseline,2,5,2,"(5, 5)","(44, 9)",15,False,True,40.657,0
A* baseline,3,1,1,"(5, 5)","(44, 8)",17,False,True,40.243,0
A* baseline,3,1,2,"(5, 5)","(44, 8)",17,False,True,40.243,0
A* baseline,3,2,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,3,2,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,3,3,1,"(5, 7)","(44, 6)",17,False,True,39.414,0
A* baseline,3,3,2,"(5, 7)","(44, 6)",17,False,True,39.414,0
A* baseline,3,4,1,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,3,4,2,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,3,5,1,"(5, 9)","(44, 6)",15,False,True,40.243,0
